epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2658,0.6297,1.23683,1.27297,0.99634,0.99677,0.99498,0.82595,0.7444,2.25004,2.43548,0.000656716,0.000656716,0.000656716
2,53.5708,0.44135,0.56723,1.0861,0.01951,0.00928,0.0005,7e-05,4.76882,3.73961,7.72852,0.00131028,0.00131028,0.00131028
3,71.3403,0.39576,0.43027,1.05415,0.92735,0.9657,0.9783,0.677,0.87123,1.15831,2.23901,0.00195065,0.00195065,0.00195065
4,88.7142,0.35266,0.35013,1.0281,0.99727,1,0.9946,0.93815,0.34107,0.39067,1.27694,0.0019406,0.0019406,0.0019406
5,106.182,0.32733,0.30248,1.01114,0.99039,0.99796,0.99468,0.72795,1.05046,0.49204,3.68301,0.0019208,0.0019208,0.0019208
6,123.503,0.31254,0.28448,1.00213,0.99518,0.99936,0.99493,0.77016,1.03996,0.52889,3.64404,0.001901,0.001901,0.001901
7,140.713,0.27689,0.26366,0.98728,0.99855,0.99919,0.995,0.8487,0.64835,0.35224,1.8001,0.0018812,0.0018812,0.0018812
8,158.174,0.25823,0.23942,0.97886,0.99975,1,0.995,0.99122,0.23396,0.2128,1.15161,0.0018614,0.0018614,0.0018614
9,175.845,0.25841,0.23593,0.98136,0.99874,1,0.995,0.94899,0.33594,0.32029,1.34412,0.0018416,0.0018416,0.0018416
10,192.995,0.23718,0.22577,0.96447,0.99863,1,0.995,0.98189,0.27926,0.2234,1.17323,0.0018218,0.0018218,0.0018218
11,210.486,0.21891,0.21432,0.96483,0.99785,0.9996,0.995,0.9629,0.29238,0.26022,1.21673,0.001802,0.001802,0.001802
12,227.874,0.20446,0.20542,0.95555,0.99527,0.9996,0.9947,0.96609,0.17956,0.22521,1.12909,0.0017822,0.0017822,0.0017822
13,245.14,0.20447,0.19628,0.95632,0.99997,1,0.995,0.99432,0.15867,0.19466,1.10278,0.0017624,0.0017624,0.0017624
